Error in file: 10012_LDTest__Images_126_0050.txt, line: 1 - x_min: 0.005357000000000001, y_min: -5.000000000143778e-07, x_max: 0.616071, y_max: 0.6104164999999999
Error in file: 11786_LDTest__Images_132_0139.txt, line: 1 - x_min: 0.5839285000000001, y_min: -5.000000000005e-07, x_max: 0.9660715000000001, y_max: 0.2104165
Error in file: 135_BKAI-IGH_NeoPolyp-Small__images_ad260bfcb4443de3ef69f6db03409913.txt, line: 2 - x_min: 0.369531, y_min: -5.000000000005e-07, x_max: 0.500781, y_max: 0.0733665
Error in file: 14917_LDTest__Images_149_0028.txt, line: 1 - x_min: 0.1321425, y_min: -5.000000000005e-07, x_max: 0.3660715, y_max: 0.1166665
Error in file: 14918_LDTest__Images_149_0029.txt, line: 1 - x_min: 0.126786, y_min: -5.000000000005e-07, x_max: 0.36250000000000004, y_max: 0.1104165
Error in file: 17236_LDTrainValid__Images_16_0023.txt, line: 1 - x_min: -5.000000000005e-07, y_min: 0.3187495, x_max: 0.18214249999999998, y_max: 0.5979165
Error in file: 18231_LDTrainValid__Images_39_0026.txt, line: 1 - x_min: 0.6035714999999999, y_min: -4.999999999866223e-07, x_max: 0.9982145, y_max: 0.29791650000000003
Error in file: 18789_LDTrainValid__Images_50_0108.txt, line: 1 - x_min: 0.2249995, y_min: -5.000000000143778e-07, x_max: 0.7196425, y_max: 0.4604165
Error in file: 18936_LDTrainValid__Images_54_0064.txt, line: 1 - x_min: -5.000000000005e-07, y_min: 0.6895835, x_max: 0.14642850000000002, y_max: 0.9312505
Error in file: 20274_LDTrainValid__Images_87_0311.txt, line: 1 - x_min: 0.02142849999999999, y_min: -5.000000000143778e-07, x_max: 0.47857150000000004, y_max: 0.5916665000000001
Error in file: 20652_LDTrainValid__Images_93_0424.txt, line: 1 - x_min: 0.341071, y_min: -4.999999999588667e-07, x_max: 0.980357, y_max: 0.9916665
Error in file: 20720_LDTrainValid__Images_93_0781.txt, line: 1 - x_min: 0.19821400000000006, y_min: -4.999999999588667e-07, x_max: 0.908928, y_max: 0.9916665
Error in file: 22451_LDTrainValid__Images_17_0062.txt, line: 1 - x_min: 0.17499949999999997, y_min: -5.000000000143778e-07, x_max: 0.4214285, y_max: 0.2729165
Error in file: 22457_LDTrainValid__Images_17_0068.txt, line: 1 - x_min: 0.2410715, y_min: -5.000000000143778e-07, x_max: 0.4875005, y_max: 0.2729165
Error in file: 255_BKAI-IGH_NeoPolyp-Small__images_10b1fcf0625f608b4ce97629ab559b28.txt, line: 1 - x_min: 0.2421875, y_min: -5.000000000143778e-07, x_max: 0.8414065, y_max: 0.6693465000000001
Error in file: 26326_LDTrainValid__Images_37_0009.txt, line: 1 - x_min: 0.1803575, y_min: -5.000000000005e-07, x_max: 0.2750005, y_max: 0.1041665
Error in file: 26656_LDTrainValid__Images_39_0001.txt, line: 1 - x_min: 0.6017855, y_min: -4.999999999866223e-07, x_max: 0.9964284999999999, y_max: 0.29791650000000003
Error in file: 26675_LDTrainValid__Images_39_0022.txt, line: 1 - x_min: 0.6035714999999999, y_min: -4.999999999866223e-07, x_max: 0.9982145, y_max: 0.29791650000000003
Error in file: 27808_LDTrainValid__Images_44_0076.txt, line: 1 - x_min: -5.000000000005e-07, y_min: 0.172917, x_max: 0.1839285, y_max: 0.8416669999999999
Error in file: 27809_LDTrainValid__Images_44_0077.txt, line: 1 - x_min: -5.000000000005e-07, y_min: 0.18333299999999997, x_max: 0.1839285, y_max: 0.8520829999999999
Error in file: 28169_LDTrainValid__Images_46_0065.txt, line: 1 - x_min: -5.000000000143778e-07, y_min: 0.5395835, x_max: 0.6214284999999999, y_max: 0.9916665
Error in file: 28751_LDTrainValid__Images_50_0057.txt, line: 1 - x_min: 5.000000000005e-07, y_min: -4.999999999866223e-07, x_max: 0.1785715, y_max: 0.42291650000000003
Error in file: 28752_LDTrainValid__Images_50_0058.txt, line: 1 - x_min: 0.0017854999999999954, y_min: -4.999999999866223e-07, x_max: 0.1803565, y_max: 0.42291650000000003
Error in file: 28777_LDTrainValid__Images_50_0087.txt, line: 1 - x_min: 0.169643, y_min: -5.000000000005e-07, x_max: 0.419643, y_max: 0.1479165
Error in file: 29381_LDTrainValid__Images_54_0059.txt, line: 1 - x_min: -5.000000000143778e-07, y_min: 0.7625005, x_max: 0.3321425, y_max: 0.9708335
Error in file: 2971_Kvasir-SEG__images_cju1fr4etsmrr09933u4t4aql.txt, line: 1 - x_min: 0.40175450000000007, y_min: 0.3205375, x_max: 0.9526315000000001, y_max: 1.0000005
Error in file: 3029_Kvasir-SEG__images_cju3x5u2tiihx0818914gzxy1.txt, line: 2 - x_min: 0.0, y_min: -4.999999999999579e-07, x_max: 0.001608, y_max: 0.0018865000000000002
Error in file: 3072_Kvasir-SEG__images_cju6v3bb2v7xo085090blubyw.txt, line: 1 - x_min: 0.079872, y_min: 0.4899455, x_max: 0.528754, y_max: 1.0000005
Error in file: 3073_Kvasir-SEG__images_cju6wi3akvn8r0801px8eligc.txt, line: 2 - x_min: 0.0, y_min: -4.999999999999579e-07, x_max: 0.002024, y_max: 0.0018865000000000002
Error in file: 3074_Kvasir-SEG__images_cju6wjm81vgsc0987enk9n3pr.txt, line: 1 - x_min: 0.131621, y_min: 0.34090950000000003, x_max: 0.617977, y_max: 1.0000005
Error in file: 3075_Kvasir-SEG__images_cju6xmqd9w0250817l5kxfnsk.txt, line: 2 - x_min: 0.0, y_min: -4.999999999999579e-07, x_max: 0.002024, y_max: 0.0018865000000000002
Error in file: 3136_Kvasir-SEG__images_cju8b8yair65w09878pyqtr96.txt, line: 1 - x_min: 0.5865385000000001, y_min: 0.3969755, x_max: 0.9307695, y_max: 1.0000005
Error in file: 3141_Kvasir-SEG__images_cju8bssulrrcy0987h1vq5060.txt, line: 2 - x_min: -4.999999999999579e-07, y_min: 5.000000000000664e-07, x_max: 0.0018245000000000002, y_max: 0.0018835
Error in file: 3153_Kvasir-SEG__images_cju0u2g7pmnux0801vkk47ivj.txt, line: 1 - x_min: -5.000000000143778e-07, y_min: 0.28867950000000003, x_max: 0.6006545000000001, y_max: 1.0000005
Error in file: 3153_Kvasir-SEG__images_cju0u2g7pmnux0801vkk47ivj.txt, line: 2 - x_min: -4.999999999999579e-07, y_min: -4.999999999999579e-07, x_max: 0.0016365, y_max: 0.0018865000000000002
Error in file: 3173_Kvasir-SEG__images_cju17g6ykn1cs0993dww6qdi8.txt, line: 1 - x_min: 0.155372, y_min: 0.24313750000000006, x_max: 0.8396699999999999, y_max: 1.0000005
Error in file: 3173_Kvasir-SEG__images_cju17g6ykn1cs0993dww6qdi8.txt, line: 2 - x_min: -4.999999999999579e-07, y_min: -5.000000000000664e-07, x_max: 0.0016524999999999999, y_max: 0.0019605
Error in file: 3177_Kvasir-SEG__images_cju17x0j4nfc10993y31pvlgs.txt, line: 2 - x_min: -5.000000000000664e-07, y_min: 5.000000000000664e-07, x_max: 0.0021785, y_max: 0.0019015
Error in file: 31861_LDTrainValid__Images_66_0064.txt, line: 1 - x_min: -5.000000000143778e-07, y_min: 0.6000004999999999, x_max: 0.2571425, y_max: 0.8520835
Error in file: 31862_LDTrainValid__Images_66_0065.txt, line: 1 - x_min: -5.000000000143778e-07, y_min: 0.6291665, x_max: 0.2571425, y_max: 0.8812495
Error in file: 3195_Kvasir-SEG__images_cju1c6yfz42md08550zgoz3pw.txt, line: 2 - x_min: 0.0, y_min: -4.999999999999579e-07, x_max: 0.001866, y_max: 0.0018865000000000002
Error in file: 3223_Kvasir-SEG__images_cju1fj6axwfp30835ukhuzhw9.txt, line: 1 - x_min: 0.48611150000000003, y_min: 0.01645350000000001, x_max: 1.0000005, y_max: 0.6910425
Error in file: 3238_Kvasir-SEG__images_cju1hmff8tkp809931jps6fbr.txt, line: 2 - x_min: 0.0, y_min: -4.999999999999579e-07, x_max: 0.001704, y_max: 0.0018865000000000002
Error in file: 3242_Kvasir-SEG__images_cju2hdr06v2bq0799mbm3bks1.txt, line: 2 - x_min: 0.0, y_min: -4.999999999999579e-07, x_max: 0.00161, y_max: 0.0018865000000000002
Error in file: 3264_Kvasir-SEG__images_cju2ma647l0nj0993ot4deq2q.txt, line: 1 - x_min: 0.370371, y_min: 0.7769655, x_max: 0.6779390000000001, y_max: 1.0000005
Error in file: 3271_Kvasir-SEG__images_cju2nnqrqzp580855z8mhzgd6.txt, line: 1 - x_min: 0.0017574999999999674, y_min: 0.08880350000000004, x_max: 1.0000005, y_max: 1.0000005
Error in file: 3271_Kvasir-SEG__images_cju2nnqrqzp580855z8mhzgd6.txt, line: 2 - x_min: 4.999999999999579e-07, y_min: -4.999999999999579e-07, x_max: 0.0017575, y_max: 0.0019305
Error in file: 3276_Kvasir-SEG__images_cju2nyc5f02m40801ojqbtiea.txt, line: 1 - x_min: 0.368167, y_min: 0.6158195, x_max: 0.709003, y_max: 1.0000005
Error in file: 3277_Kvasir-SEG__images_cju2oi8sq0i2y0801mektzvw8.txt, line: 2 - x_min: 0.0, y_min: -4.999999999999579e-07, x_max: 0.000742, y_max: 0.0009345
Error in file: 3293_Kvasir-SEG__images_cju2qqn5ys4uo0988ewrt2ip2.txt, line: 1 - x_min: 0.08626250000000002, y_min: -5.000000000143778e-07, x_max: 0.8865815, y_max: 0.9450544999999999
Error in file: 3307_Kvasir-SEG__images_cju2ricdv2iys0878sv1adh0u.txt, line: 2 - x_min: 4.999999999999579e-07, y_min: -4.999999999999579e-07, x_max: 0.0016235, y_max: 0.0018865000000000002
Error in file: 3325_Kvasir-SEG__images_cju2sszfq3uye0878sucelzk2.txt, line: 1 - x_min: 0.19614150000000002, y_min: 0.030131499999999922, x_max: 1.0000005, y_max: 0.9924664999999999
Error in file: 33594_LDTrainValid__Images_79_0036.txt, line: 1 - x_min: -5.000000000005e-07, y_min: 0.11041649999999999, x_max: 0.15714250000000002, y_max: 0.2749995
Error in file: 3364_Kvasir-SEG__images_cju2y5zas8m7f0801d34g5owq.txt, line: 1 - x_min: 0.011945499999999998, y_min: 0.30688950000000004, x_max: 0.4675765, y_max: 1.0000005
Error in file: 33688_LDTrainValid__Images_7_0059.txt, line: 1 - x_min: 0.11785750000000003, y_min: -5.000000000143778e-07, x_max: 0.4732145, y_max: 0.5041665
Error in file: 3442_Kvasir-SEG__images_cju34m7h536wq0988xz7gx79v.txt, line: 2 - x_min: -5.000000000000664e-07, y_min: 5.000000000000664e-07, x_max: 0.0016205, y_max: 0.0018835
Error in file: 3443_Kvasir-SEG__images_cju34o6dbd2lo0855aqlcy1hs.txt, line: 2 - x_min: 4.999999999999579e-07, y_min: -5.000000000000664e-07, x_max: 0.0016055000000000002, y_max: 0.0021005
Error in file: 34447_LDTrainValid__Images_86_0042.txt, line: 1 - x_min: 0.08571400000000001, y_min: -5.000000000005e-07, x_max: 0.210714, y_max: 0.0729165
Error in file: 34450_LDTrainValid__Images_86_0045.txt, line: 1 - x_min: 0.126786, y_min: -5.000000000005e-07, x_max: 0.251786, y_max: 0.0729165
Error in file: 34650_LDTrainValid__Images_87_0304.txt, line: 1 - x_min: 0.014285499999999979, y_min: -5.000000000143778e-07, x_max: 0.47142850000000003, y_max: 0.5916665000000001
Error in file: 3451_Kvasir-SEG__images_cju353d1eda8c07992afde611.txt, line: 1 - x_min: 0.7202575, y_min: 0.13636399999999999, x_max: 1.0000005, y_max: 0.51894
Error in file: 34550_LDTrainValid__Images_87_0165.txt, line: 1 - x_min: -4.999999999866223e-07, y_min: 0.01874999999999999, x_max: 0.2964285, y_max: 0.7250000000000001
Error in file: 34562_LDTrainValid__Images_87_0179.txt, line: 1 - x_min: -4.999999999866223e-07, y_min: 0.025000000000000022, x_max: 0.3071425, y_max: 0.63125
Error in file: 34653_LDTrainValid__Images_87_0308.txt, line: 1 - x_min: 0.0035714999999999775, y_min: -5.000000000143778e-07, x_max: 0.4607145, y_max: 0.5916665000000001
Error in file: 34654_LDTrainValid__Images_87_0310.txt, line: 1 - x_min: 0.02678549999999999, y_min: -5.000000000143778e-07, x_max: 0.4839285, y_max: 0.5916665000000001
Error in file: 3484_Kvasir-SEG__images_cju3xvoo2iqlc0817eku2r3wl.txt, line: 2 - x_min: 0.0, y_min: -4.999999999999579e-07, x_max: 0.002242, y_max: 0.0018865000000000002
Error in file: 3527_Kvasir-SEG__images_cju43in5fm22c08175rxziqrk.txt, line: 2 - x_min: 4.999999999999579e-07, y_min: -4.999999999999579e-07, x_max: 0.0016235, y_max: 0.0018865000000000002
Error in file: 3536_Kvasir-SEG__images_cju45ofd9ne1j0801ri8dup7t.txt, line: 2 - x_min: 0.0, y_min: -4.999999999999579e-07, x_max: 0.001608, y_max: 0.0018865000000000002
Error in file: 35722_LDTrainValid__Images_92_0116.txt, line: 1 - x_min: 0.03750049999999999, y_min: -5.000000000143778e-07, x_max: 0.4928575, y_max: 0.5354165
Error in file: 36087_LDTrainValid__Images_93_0426.txt, line: 1 - x_min: 0.34285699999999997, y_min: -4.999999999588667e-07, x_max: 0.982143, y_max: 0.9916665
Error in file: 36089_LDTrainValid__Images_93_0428.txt, line: 1 - x_min: 0.358928, y_min: -4.999999999588667e-07, x_max: 0.998214, y_max: 0.9916665
Error in file: 3626_Kvasir-SEG__images_cju5xopi0md7q0871r1sjc1av.txt, line: 1 - x_min: 0.6725355, y_min: 0.305861, x_max: 1.0000005, y_max: 0.752747
Error in file: 36366_LDTrainValid__Images_93_0780.txt, line: 1 - x_min: 0.19464300000000007, y_min: -4.999999999588667e-07, x_max: 0.905357, y_max: 0.9916665
